"Corpus";"Corpus_URL";"Language";"Size";"Annotation";"Licence";"Licence_URL";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"The SPLLOC1 Corpus";"http://hdl.handle.net/10.21415/T5TW27";"Spanish";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains recordings of L2 Spanish in a classroom context. There were 20 learners, all of whom were English native speakers, at each of 3 levels: beginners (Year 9 students aged 13-14), intermediate students (A2 students aged 17-18), and fourth year undergraduates.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/Spanish/SPLLOC1#SEPhttp://hdl.handle.net/10.21415/T5TW27";"Mitchell et al. (2008)";"https://www.clarin.eu/resource-families/L2-corpora#Mitchell%20et%20al.%202008";
"The SPLLOC2 Corpus";"http://hdl.handle.net/10.21415/T5RG7C";"Spanish";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus is an extension of the <a href=""https://www.clarin.eu/resource-families/L2-corpora#The%20SPLLOC1%20Corpus"">SPLLOC1 Corpus</a>.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/Spanish/SPLLOC2#SEPhttp://hdl.handle.net/10.21415/T5RG7C";"Mitchell et al. (2008)";"https://www.clarin.eu/resource-families/L2-corpora#Mitchell%20et%20al.%202008";
"The Dresden Corpus";"http://hdl.handle.net/10.21415/T52G75";"Czech";;"audio/transcription linking";"public (acknowledgment required)";;"The corpus contains speech recordings of ~32 German children learning Czech (type of study: interview).#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/Czech/Dresden#SEPhttp://hdl.handle.net/10.21415/T52G75";"Kubanek-German (2000)";"https://www.clarin.eu/resource-families/L2-corpora#Kubanek-German%202000";
"The Anglish Corpus ";"https://hdl.handle.net/11403/sldr000731/v2";"English";;"interpausal units";"CLARIN RES";;"This corpus contains various speech tasks performed by French native speakers and the associated transcriptions.#SEPThe corpus is available for download from Ortolang.";"L2 learner corpora";"Download";"http://hdl.handle.net/11403/sldr000731/v2";;;
"The Barcelona English Language Corpus";"http://hdl.handle.net/10.21415/T5S89C";"English";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains speech recordings of Spanish children and teenagers learning English in Barcelona. across 4 tasks (written composition, oral narrative, oral interview and role play).#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/English/BELC#SEPhttp://hdl.handle.net/10.21415/T5S89C";"Muñoz (2006)";"https://www.clarin.eu/resource-families/L2-corpora#Mu%C3%B1oz%202006";
"The Barraja-Rohan Corpus";"http://hdl.handle.net/10.21415/T5KD74";"English";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains speech recordings of adult international students who spoke English as a second language and who had newly arrived at an Australian university. These undergraduate international students from various Asian backgrounds interacted over a period of seven months with Australian graduate students who were native speakers of English.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/English/Barraja-Rohan#SEPhttp://hdl.handle.net/10.21415/T5KD74";"Barraja-Rohan (2013)";"https://www.clarin.eu/resource-families/L2-corpora#Barraja-Rohan%202013";
"The Connolly Corpus";"http://hdl.handle.net/10.21415/T5R591";"English";;"audio/transcription linking";"public (acknowledgment required)";;"The corpus contains speech recordings of 60 Japanese high school students learning English.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/English/Connolly#SEPhttp://hdl.handle.net/10.21415/T5R591";;;
"The CUHK corpus";"http://hdl.handle.net/10.21415/T5761P";"English";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains speech recordings of 6 children learning English in Hong Kong.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/English/CUHK#SEPhttp://hdl.handle.net/10.21415/T5761P";"MacWhinney (2016)";"https://www.clarin.eu/resource-families/L2-corpora#MacWhinney%202016";
"The Dresden Corpus";"http://hdl.handle.net/10.21415/T5HS45";"English";;"audio/transcription linking";"public (acknowledgment required)";;"The corpus contains speech recordings of ~32 German children learning English (type of study: interview).#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/English/Dresden#SEPhttp://hdl.handle.net/10.21415/T5HS45";"Kubanek-German (2000)";"https://www.clarin.eu/resource-families/L2-corpora#Kubanek-German%202000";
"GLBCC (Giessen - Long Beach Chaplin Corpus)";"http://hdl.handle.net/20.500.12024/2506";"English";"2472 words/transcript";;"CC-BY";;"This corpus contains film retellings performed by English and German native speakers.#SEPThe corpus is available for download from the University of Oxford Text archive. ";"L2 learner corpora";"Download";"http://hdl.handle.net/20.500.12024/2506";;;
"A Learners' Corpus of Reading Texts";"https://hdl.handle.net/11403/sldr000015/v2";"English";;;"CLARIN RES";;"This corpus contains unprepared readings by first-year students at an English department who speak French as a native language.#SEPThe corpus is available for download from Ortolang.";"L2 learner corpora";"Download";"https://hdl.handle.net/11403/sldr000015/v2";;;
"The Markee Corpus";"http://hdl.handle.net/10.21415/T51S56";"English";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains speech recordings of 3 students learning English as a second language.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/English/Markee#SEPhttp://hdl.handle.net/10.21415/T51S56";"Markee (2000)";"https://www.clarin.eu/resource-families/L2-corpora#Markee%202000";
"The PAROLE Corpus";"http://hdl.handle.net/10.21415/T5TP4X";"English";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains speech recordings of 95 students learning English in France (type of study: tasks/storytelling).#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/English/PAROLE#SEPhttp://hdl.handle.net/10.21415/T5TP4X";"Hilton (2009)";"https://www.clarin.eu/resource-families/L2-corpora#Hilton%202009";
"The QATAR Corpus";"http://hdl.handle.net/10.21415/T5J61G";"English";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains recorded interviews involving 19 Qatari learners of English.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/English/Qatar#SEPhttp://hdl.handle.net/10.21415/T5J61G";"Zhao and MacWhinney (2010)";"https://www.clarin.eu/resource-families/L2-corpora#Zhao%20and%20MacWhinney%202009";
"The Vercellotti Corpus";"http://hdl.handle.net/10.21415/T5W88X";"English";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains recordings of adult learners entering an Intensive English Program (IEP) in the United States during the year 2010. Tasks include 2 minute monologues.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/English/Vercellotti#SEPhttp://hdl.handle.net/10.21415/T5W88X";"Vercellotti (2017)";"https://www.clarin.eu/resource-families/L2-corpora#Vercellotti%202015";
"The Dresden Corpus";"http://hdl.handle.net/10.21415/T5KG6F";"French";;"audio/transcription linking";"public (acknowledgment required)";;"The corpus contains speech recordings of ~32 German children learning French (type of study: interview).#SEPThe corpus is a part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/French/Dresden#SEPhttp://hdl.handle.net/10.21415/T5KG6F";"Kubanek-German (2000)";"https://www.clarin.eu/resource-families/L2-corpora#Kubanek-German%202000";
"French Learner Language Oral Corpora (FLLOC)";"http://hdl.handle.net/20.500.12024/2495";"French";"1375 transcripts";"MSD-tagged";"CC-BY";;"This corpus contains various narrative and interactive speech tasks performed by English and Dutch native speakers.#SEPThe corpus is available for download from the University of Oxford Text Archive. The transcripts and audio files can also be downloaded and browsed through through TalkBank.";"L2 learner corpora";"Download";"http://hdl.handle.net/20.500.12024/2495";;;
"The LANGSNAP Corpus";"http://hdl.handle.net/10.21415/S2PF-EP82";"French";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains speech recordings of 28 British undergraduates learning French before, during and after a year abroad. Tasks include oral interviews and and story retellings, aside from argumentative writing tasks.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/French/LANGSNAP#SEPhttp://hdl.handle.net/10.21415/S2PF-EP82";"Tracy-Ventura and Huensch (2018)";"https://www.clarin.eu/resource-families/L2-corpora#Tracy-Ventura%20and%20Huensch%202018";
"The LANGSNAP3 Corpus";"http://hdl.handle.net/10.21415/NB7D-4G97";"French";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus is a 3-year follow up to the <a href=""https://www.clarin.eu/resource-families/L2-corpora#The%20French%20LANGSNAP%20Corpus"">LANGSNAP corpus</a>, involving 18 participants.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/French/LANGSNAP3#SEPhttp://hdl.handle.net/10.21415/NB7D-4G97";"Tracy-Ventura and Huensch (2018)";"https://www.clarin.eu/resource-families/L2-corpora#Tracy-Ventura%20and%20Huensch%202018";
"The Newcastle Corpus";"http://hdl.handle.net/10.21415/T5461R";"French";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains intermediate level spoken French from 17-18 year old second language learners, in years 12 to 13 of UK secondary education.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/French/Newcastle#SEPhttp://hdl.handle.net/10.21415/T5461R";;;
"The PAROLE Corpus";"http://hdl.handle.net/10.21415/T54C7R";"French";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains speech recordings of 40 students learning French in France as a second language (type of study: tasks/storytelling).#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/French/PAROLE#SEPhttp://hdl.handle.net/10.21415/T54C7R";"Hilton (2009)";"https://www.clarin.eu/resource-families/L2-corpora#Hilton%202009";
"The Trinity College (TCD) Corpus";"http://hdl.handle.net/10.21415/T5CC89";"French";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains recordings of 5 children (2 Irish, 1 Polish, 2 Cambodian)  learning French in a school in France.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/French/TCD#SEPhttp://hdl.handle.net/10.21415/T5CC89";;;
"The Reading Corpus";"http://hdl.handle.net/10.21415/T50P4G";"French";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains oral proficiency interviews with 34 16-year-olds learning French in South Wales.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/French/Reading#SEPhttp://hdl.handle.net/10.21415/T50P4G";"Chambers and Richards (1995)";"https://www.clarin.eu/resource-families/L2-corpora#Chambers%20and%20Richards%201995";
"The UWI Corpus";"http://hdl.handle.net/10.21415/T5G975";"French";"15,068 tokens";"audio/transcription linking";"public (acknowledgment required)";;"This corpus consists of 25 recorded interviews with learners of French (9 adult learners) in Jamaica.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/French/UWI#SEPhttp://hdl.handle.net/10.21415/T5G975";"Péters (2017)";"https://www.clarin.eu/resource-families/L2-corpora#P%C3%A9ters%202017";
"The Dimroth SLA Corpus";"http://hdl.handle.net/10.21415/T5XS3H";"German";;"audio/transcription linking";"public (acknowledgment required)";;"The corpus contains speech recordings of 47 students learning German (type of study:  interview).#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/German/Dimroth#SEPhttp://hdl.handle.net/10.21415/T5XS3H";"Dimroth (2008)";"https://www.clarin.eu/resource-families/L2-corpora#Dimroth%202008";
"Hamburg Modern Times Corpus";"http://hdl.handle.net/11022/0000-0000-6973-9";"German";"24,000 words";"prosody";"CLARIN RES";;"This corpus contains film retellings and the accompanying transcriptions.#SEPThe corpus is available for download  from the HZSK CLARIN-D repository.";"L2 learner corpora";"Download";"http://hdl.handle.net/11022/0000-0000-6973-9";;;
"The RyanDan Corpus";"http://hdl.handle.net/10.21415/T55S42";"German";;"audio/transcription linking";"public (acknowledgment required)";;"The corpus contains recordings of 4 Carnegie Mellon University students learning German.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/German/RyanDan#SEPhttp://hdl.handle.net/10.21415/T55S42";"Walter (2020)";"https://www.clarin.eu/resource-families/L2-corpora#Walter%202020";
"The VYSA Corpus";"http://hdl.handle.net/10.21415/T53602";"German";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains recordings of 3 highschool students learning German abroad while living with German-speaking host families and attending German secondary schools in standard German-speaking urban and peri-urban regions of Germany.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/phon/Biling/VYSA#SEPhttp://hdl.handle.net/10.21415/T53602";"Young-Scholten and Langer (2015)";"https://www.clarin.eu/resource-families/L2-corpora#Young-Scholten%20and%20Langer%202015";
"The Theodórsdóttir corpus";"http://hdl.handle.net/10.21415/T5230Q";"Icelandic";;"audio/transcription linking";"public (acknowledgment required)";;"The corpus contains recordings obtained in a longitudinal case study of L2 Icelandic.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/Password/IceBase#SEPhttp://hdl.handle.net/10.21415/T5230Q";"Theodórsdóttir (2018)";"https://www.clarin.eu/resource-families/L2-corpora#Theod%C3%B3rsd%C3%B3ttir%E2%80%AC%202018";
"The PAROLE Corpus";"http://hdl.handle.net/10.21415/T5XX14";"Italian";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains speech recordings of 95 students learning Italian in France  (type of study: tasks/storytelling).#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/Italian/PAROLE#SEPhttp://hdl.handle.net/10.21415/T5XX14";"Hilton (2009)";"https://www.clarin.eu/resource-families/L2-corpora#Hilton%202009";
"The COPA Corpus";"http://hdl.handle.net/10.21415/T5ZK6W";"Mandarin";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains speech recordings of ~120 college students learning Mandarin in Hong Kong (type of study: responses to questions).#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/Mandarin/COPA#SEPhttp://hdl.handle.net/10.21415/T5ZK6W";"Zhang (2009)";"https://www.clarin.eu/resource-families/L2-corpora#Zhang%202009";
"The HKPU Corpus";"http://hdl.handle.net/10.21415/T5489G";"Mandarin";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains speech recordings of 20 college students learning Mandarin in Hong Kong. The tasks involve oral interviews.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/Mandarin/HKPU#SEPhttp://hdl.handle.net/10.21415/T5489G";"Chang et al. (2013)";"https://www.clarin.eu/resource-families/L2-corpora#Chang%20et%20al.%202013";
"LANGMAN";"https://slabank.talkbank.org/access/Hungarian/Langman.html";"Hungarian";"11 subcorpora";"error coding";"CC-BY";;"This corpus is a spoken corpus involving Chinese native speakers who learn Hungarian as a second language.#SEPThe subcorpora are available for download from and browsing through the TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/Hungarian/Langman#SEPhttps://slabank.talkbank.org/access/Hungarian/Langman.html";;;
"The BCN-L2 Corpus";"http://hdl.handle.net/10.21415/T5GC87";"Spanish";;"error coding";"public (acknowledgment required)";;"This corpus contains speech recordings of Berber students learning Spanish. The participants were 88 native speakers of Moroccan Arabic (Darija) and 26 speakers of Berber (Amazigh) living in Catalonia.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/Spanish/BCN#SEPhttp://hdl.handle.net/10.21415/T5GC87";"Bet et al. (2016)";"https://www.clarin.eu/resource-families/L2-corpora#Bel%20et%20al.%202016";
"The Díaz Rodríguez Corpus";"http://hdl.handle.net/10.21415/T5MW2C";"Spanish";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains speech recordings of Indoeuropean and Asian Learners, both semi-spontaneous and experimental, obtained in Barcelona, Spain (type of study: naturalistic, longitudinal).#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/Spanish/DiazRodriguez#SEPhttp://hdl.handle.net/10.21415/T5MW2C";"Díaz (2002)";"https://www.clarin.eu/resource-families/L2-corpora#D%C3%ADaz%202002";
"The LANGSNAP Corpus";"http://hdl.handle.net/10.21415/PN9K-RZ04";"Spanish";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains speech recordings of 27 British undergraduates learning Spanish before, during and after a year abroad. Tasks include oral interviews and and story retellings, aside from argumentative writing tasks.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/Spanish/LANGSNAP#SEPhttps://slabank.talkbank.org/data/Spanish/LANGSNAP.zip";"Tracy-Ventura and Huensch (2018)";"https://www.clarin.eu/resource-families/L2-corpora#Tracy-Ventura%20and%20Huensch%202018";
"The LANGSNAP3 Corpus";"http://hdl.handle.net/10.21415/QR48-MN39";"Spanish";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus is a 3-year follow-up to the <a href=""https://www.clarin.eu/resource-families/L2-corpora#The%20Spanish%20LANGSNAP%20Corpus"">LANGSNAP Corpus</a>, involving 33 participants.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/Spanish/LANGSNAP3#SEPhttps://hdl.handle.net/10.21415/QR48-MN39";"Tracy-Ventura and Huensch (2018)";"https://www.clarin.eu/resource-families/L2-corpora#Tracy-Ventura%20and%20Huensch%202018";
"The Liceras Corpus";"http://hdl.handle.net/10.21415/T5X01T";"Spanish";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains speech recordings of 11 students learning Spanish as a second language.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/Spanish/Liceras#SEPhttp://hdl.handle.net/10.21415/T5X01T";"Liceras et al. (1999)";"https://www.clarin.eu/resource-families/L2-corpora#Liceras%202017";
"The Nebrija-CORELE-UA Corpus";"http://hdl.handle.net/10.21415/G7KH-R304";"Spanish";"1 hour 27 minutes, 10,292 words";"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains  10 recorded interviews involving  students of Spanish as a Foreign Language have at the University of Alicante, in Alicante.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/Spanish/Nebrija-CORELE-UA#SEPhttp://hdl.handle.net/10.21415/G7KH-R304";"Medina Soler (2017)";"https://www.clarin.eu/resource-families/L2-corpora#Medina%20Soler%202017";
"The Nebrija-INMIGRA Corpus";"http://hdl.handle.net/10.21415/T5GM44";"Spanish";;"audio/transcription linking";"public (acknowledgment required)";;"This corpus consists of oral interviews carried out in the context of the LETRA test of Spanish for immigrant workers. It is made up of semi-guided interviews carried out in Spanish which last approximately 10 minutes each. The participants are immigrants from 11 different countries who live in the Autonomous Community of Madrid (Spain).#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/Spanish/Nebrija-INMIGRA#SEPhttp://hdl.handle.net/10.21415/T5GM44";"Liceras (2017)";"https://www.clarin.eu/resource-families/L2-corpora#Liceras%202017";
"The Nebrija-OAP Corpus";"http://hdl.handle.net/10.21415/T5GQ45";"Spanish";"9 hours 19 minutes, 49,718 words";"audio/transcription linking";"public (acknowledgment required)";;"This corpus contains 67 videotaped presentations involving 95 North American students of Spanish as a Foreign Language at Nebrija University in Madrid.#SEPThe corpus is part of the <a href=""https://slabank.talkbank.org/"">SLABank collection</a>, which is a component of <a href=""https://talkbank.org/"">TalkBank</a> dedicated to providing corpora for the study of second language acquisition and learning.#SEPThe corpus is available for online browsing and download via TalkBank.";"L2 learner corpora";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/slabank/Spanish/Nebrija-OAP-English#SEPhttp://hdl.handle.net/10.21415/T5GQ45";"Vergara Padilla (2017)";"https://www.clarin.eu/resource-families/L2-corpora#Vergara%20Padilla%202017";
